sigma_mem_y,f_mem,sigma_mem,E_mem,nu_mem,sigma_edg,sigma_sup,sigma_mem_max
12761.37028,0.501565855,4322.760721,599323.786,0.40963752,293780.9569,413723.1352,5561.344949
11218.1075,0.361532376,5239.128494,683718.3898,0.383431524,358860.9647,414313.586,5786.098867
10370.97825,0.440123796,3473.090773,591320.4474,0.398737336,287313.6429,510574.5111,5251.275711
13920.11159,0.556071258,3459.791826,583899.8253,0.397556349,364721.8922,431091.6256,5654.352927
10520.391,0.69729111,3904.036543,656256.7233,0.386934003,352015.367,465438.1281,6353.125906
12634.98007,0.344076669,3895.725173,621480.2236,0.398117345,297048.4722,499300.9889,5117.024161
11143.70122,0.442788418,4867.686236,644103.9259,0.410978238,405270.0556,353749.4409,5741.81676
10404.44449,0.362567825,3926.598305,568336.062,0.419241333,383493.4272,500905.7782,5479.926865
11644.15731,0.517821506,3604.051877,652022.2797,0.388718239,300714.9538,436684.0535,5403.16616
11882.29208,0.621044411,3869.052708,682786.6329,0.409974881,316668.9182,390820.7512,5764.682157
11127.16873,0.347421883,3437.589149,557510.2714,0.413269916,479328.3579,369320.343,5324.378838
12140.75324,0.53814699,3907.243142,549487.0092,0.400819553,432514.5552,365646.9061,5784.893327
10602.6375,0.260985843,4399.316378,619496.1689,0.395749258,419362.947,463013.1953,5349.246061
11068.36716,0.209417223,4358.931107,553433.3133,0.401689443,359809.0205,311606.4129,4580.625052
10288.01151,0.343015177,3446.242479,531930.2817,0.406798801,247853.949,415531.8855,4515.506445
7540.794695,0.414337393,4380.086339,602758.5712,0.38120113,327139.9564,402126.9783,5371.669768
10886.72416,0.489179162,3581.934648,534687.5229,0.401490549,426528.7914,457423.1454,5799.042054
10699.90127,0.314732984,5110.327651,522843.4033,0.403134677,303742.3393,403026.8776,5461.684722
13468.52478,0.330942873,4748.997492,597515.8119,0.409188753,337243.7396,352630.9788,5208.482637
11324.95797,0.294556787,4271.139499,598285.2046,0.399395556,262270.1243,323861.6331,4630.318735
12150.2455,0.470628824,4689.09509,607485.391,0.384059514,350481.5876,353008.0075,5628.378764
10126.83882,0.465791664,4579.376234,556308.5061,0.414541624,307933.9945,428373.8111,5645.170652
10963.01067,0.388832283,5084.870109,545120.5774,0.383000976,345632.3673,443828.7535,5824.902328
10025.18517,0.277747531,3711.45292,617876.9501,0.38581936,285921.9112,380389.8241,4460.045981
11188.03575,0.41710698,3226.509506,561609.2052,0.383619885,354158.279,472770.1891,5238.55647
